intent,scenario,ground_truth,baseline_transcript,finetuned_transcript,baseline_primary_error_type,baseline_confidence,baseline_alignment_summary,baseline_impact,baseline_correct,finetuned_correct
calendar_query,calendar,what's on my schedule for today,WAS EN MY STATE AND FOOKKEP,WHATS ON MY SCHEDULE FOR TODAY,proper_noun_error,0.9937689,replace:what's on->was en | replace:schedule for today->state and fookkep,high_impact,False,True
calendar_remove,calendar,delete day after event,THE LEAD DAY AFTER EVENT,DELETE DAY AFTER EVENT,proper_noun_error,0.9936785,replace:delete->the lead,high_impact,False,True
qa_factoid,qa,could you please give me the birthday of mahatma gandhiji,IS A GRY STIVY BIR DAY OF MATTER NO AN,COULD YOU PLEASE GIVE ME THE BIRTHDAY OF MYHUBGANDI,proper_noun_error,0.9934469,replace:could you please give me the birthday->is a gry stivy bir day | replace:mahatma gandhiji->matter no an,high_impact,False,False
general_quirky,general,meaning of a particular word,MEANING OF A PARTICULAR WORD,MEANING OF A PARTICULAR WORD,no_error,0.9934068,exact_match,high_impact,False,False
general_quirky,general,meaning of a particular word,MEANING OF A PARTICULAR WORD,THE MEANING OF A PARTICULAR WORD,no_error,0.9934068,exact_match,high_impact,False,False
general_quirky,general,meaning of a particular word,MEANING OF A PARTICULAR WORD,MEANING OF A PARTICULAR WORD,no_error,0.9934068,exact_match,high_impact,False,False
calendar_query,calendar,i needed to prepare for a meeting,I NEED TO PREPAR FOR A MEETING,I NED TO PREPARE FOR A METING,proper_noun_error,0.99325776,replace:needed->need | replace:prepare->prepar,high_impact,False,False
general_quirky,general,meaning of a particular word,MEANINGACAL PARTICULAR WORD,MEANING OCOT PARTICULAR WORD,proper_noun_error,0.99317,replace:meaning of a->meaningacal,high_impact,False,False
calendar_remove,calendar,clear my day from meetings,MY DAY FOR ME T,WEAE MY DAY FROM METING,proper_noun_error,0.9931399,delete:clear | replace:from meetings->for me t,high_impact,False,False
calendar_query,calendar,please check third event of twenty second of march twenty seventeen,SHEK THIRD EVENT OF TWENTY SECON MOSE TWO THOUSAND SEVENTEEN,PLEASE CHECK THIRD EVENT OF TWENTY SEPRIN MARCH TWO THOUSAND AND SEVENTEN,number_error,0.9930594,replace:please check->shek | replace:second of march twenty->secon mose two thousand,high_impact,False,True
qa_factoid,qa,what's trump been on about this week,WHAT'S TRUMP BEING ON ABOUT THIS WEEK,WHATS TRUMP BEING ON ABOUT THIS WEK,proper_noun_error,0.9929709,replace:been->being,high_impact,False,False
qa_stock,qa,what is the stock value of google,WHAT IS THE STACK VALLEY OF GULGO,WHAT IS THE STOCK VALUE OF GOGLE,proper_noun_error,0.9929524,replace:stock value->stack valley | replace:google->gulgo,high_impact,False,True
datetime_query,datetime,what time is it in dooa,WHAT A TERM IS IT INCHI,WHAT TIME IS IT IN CHINA,proper_noun_error,0.9929269,replace:time->a term | replace:in dooa->inchi,high_impact,False,True
news_query,news,what is new about blank,WHAT DOES MEAN,WHAT DOES MEAN,proper_noun_error,0.99286085,replace:is new about blank->does mean,high_impact,False,False
news_query,news,show bbc news live,SHOWBE EASY IN HIS LIFE,SHOW BC NEWS LIFE,proper_noun_error,0.9928604,replace:show bbc news live->showbe easy in his life,high_impact,False,True
quirky,general,what am i doing today,WHAT I AM DOING TO DAY,WHAT I AM DOING TODAY,proper_noun_error,0.9928524,insert:i | delete:i | replace:today->to day,high_impact,False,False
calendar_query,calendar,what's the news for six hundred and forty five am today,WHAT'S HE NEWS FOR SIX HUNDRED AND FORTY FIVE A M TO DAY,WHATS THE NEWS FOR SIX FORTY FIVE AM TODAY,proper_noun_error,0.99282587,replace:the->he | replace:am today->a m to day,high_impact,False,False
calendar_query,calendar,tell me about the meeting i have this week,ABOUT A MEETING I HAVE THIS WEEK,HA A BOUT THE METING I HAVE THIS WEK,proper_noun_error,0.9928063,delete:tell me | replace:the->a,high_impact,False,False
calendar_query,calendar,what does today's schedule look like,DOES TO DAY SCHED YOU LOOK LIKE,WHAT DOES TODAYS SCHEDULE LOK LIKE,proper_noun_error,0.99276733,delete:what | replace:today's schedule->to day sched you,high_impact,False,True
calendar_query,calendar,does my calendar say i'm free on april one two thousand and seventeen,MY CALENDER SAY UM FREE ON APRIL THE FIRST TWENTY SEVENTEEN,START MY CALENDAR SAY OM FRE ON APRIL FIRST TWENT SEVENTEN,number_error,0.99272835,delete:does | replace:calendar->calender | replace:i'm->um | replace:one two thousand and->the first twenty,high_impact,False,False
social_query,social,how many likes does my last instagram photo have,HOW MANY LIES THERE'S MY LONTINGS FOR A FOTO HAVE,HOW MANY LIKES DOES MY LAST INSTRANT PHOTO CAVE,proper_noun_error,0.99252397,replace:likes does->lies there's | replace:last instagram photo->lontings for a foto,high_impact,False,True
takeaway_order,takeaway,i want to order some chinese food tonight what's delivering to me,I WENT TO ODI ON CHINE'S FOOT TO NIGHT WHILS TE LIVERING TO ME,I WANT TO ORDER SOME CHINESE FOT TONIGHT WHATS DELIVERY TO ME,proper_noun_error,0.99251163,replace:want->went | replace:order some chinese food tonight what's delivering->odi on chine's foot to night whils te livering,high_impact,False,True
calendar_remove,calendar,please cancel the next event on the calendar,PLEASE CONSUL THE NEXT AVENT ON THE CALENDAR,PLEASE CANCEL THE NEXT EVENT ON THE CALENDAR,proper_noun_error,0.9924711,replace:cancel->consul | replace:event->avent,high_impact,False,True
weather_query,weather,is it going to be nice tomorrow,IS IT GOING TO BE NICE TO MORAL,IS IT GOING TO BE NICE TOMOROW,proper_noun_error,0.9924705,replace:tomorrow->to moral,high_impact,False,True
social_query,social,what was the last thing my mom said,WHAT WAS THE LAST THING MY MOUSE SATE,WHAT WAS THE LAST THING MY MOUSE SATE,proper_noun_error,0.9924246,replace:mom said->mouse sate,high_impact,False,False
play_podcasts,play,short and simple,THOUGHT AND SIMPLE,SHORT AND SIMPLY,proper_noun_error,0.9924125,replace:short->thought,high_impact,False,True
news_query,news,give me the newest new york times,GIVE ME AN YEARD AS YOU ALL TIME,GIVE ME HE NEAREST NEW YORK TIME,proper_noun_error,0.9924034,replace:the newest new york times->an yeard as you all time,high_impact,False,False
email_query,email,did i get any new emails today from claire,DID I GET ANY NEWS NEWLY MILE TO THER DRUM LIL,DID I GET ANY NEW NEW EMAILS TODAY FROM PLIL,proper_noun_error,0.9923614,replace:new emails today from claire->news newly mile to ther drum lil,high_impact,False,True
social_post,social,i'm unhappy with tesco please help me,I'M UNHAPPY WITH MY DISSERTATION PLEASE HELP ME,I AM UNHAPY WITH MY DESITATION PLEASE HELP ME,proper_noun_error,0.9923443,replace:tesco->my dissertation,high_impact,False,False
transport_taxi,transport,book a taxi to the airport for tomorrow morning,BUT LE TAXE DID A EPOF WICH HARM EN,BOK A TAXI TO THE APER FOR TOMOROW MORNG,proper_noun_error,0.99234176,replace:book->but le taxe did | replace:taxi to the airport for tomorrow morning->epof wich harm en,high_impact,False,True
datetime_query,datetime,what day is it on fifth december,FOR DASA ON FIFTH DECEMBER,WHAT DAY IS IT ON FIFTH DECEMBER,proper_noun_error,0.9923374,replace:what day is it->for dasa,high_impact,False,True
music_query,music,please give me detail of o zaalima song,WECAN  I DID OV OH ZOLY MO SON,PLEASE GIVE ME DETAIL OF OLD SOLIMA SONG,proper_noun_error,0.9923294,replace:please give me detail of o zaalima song->wecan i did ov oh zoly mo son,high_impact,False,True
general_quirky,general,define yourself in one word,DEFINE YOURSELF IN ONE WORD,DEFINE YOURSELF IN ONE WORD,no_error,0.9922339,exact_match,high_impact,False,False
email_query,email,report any new emails,REGARDEN YOU YOU KNOW,REPORT ANY NEW EMAILS,proper_noun_error,0.99215937,replace:report any new emails->regarden you you know,high_impact,False,True
weather_query,weather,how is weather likely to be in my area today,I WAS WELL UNLIKELY TO BE IN MY HEIROR TO DAY,HOW IS WEATHER LIKELY TO BE IN MY AREA TODAY,proper_noun_error,0.99215573,replace:how is weather likely->i was well unlikely | replace:area today->heiror to day,high_impact,False,True
datetime_query,datetime,what is the date of next saturday,BUT LITIS MADE UP VERY SADLY,WHAT IS THE DATE OF NEXT SATURDAY,proper_noun_error,0.99215525,replace:what is the date of next saturday->but litis made up very sadly,high_impact,False,True
iot_hue_lightoff,iot,turn off my bedside lamp please,AND OF MY BEDSED LAMPLASE,TURN OF MY BEDSIDE LAMP PLEASE,proper_noun_error,0.99213177,replace:turn off->and of | replace:bedside lamp please->bedsed lamplase,high_impact,False,False
general_quirky,general,when is the next touring,WHAT IS DENACTORY,WHAT IS THE NEXT STORI,proper_noun_error,0.99208504,replace:when->what | replace:the next touring->denactory,high_impact,False,True
play_radio,play,radio on,PRETTY WELL,RADIO ON,proper_noun_error,0.9919784,replace:radio on->pretty well,high_impact,False,True
calendar_set,calendar,remember to pick me up by twelve noon from the airport i have a three pm meeting,REMEMBER TO GAVE ME OFF BY FAVE NOTON FRON AIR HORSE AND I LOOKED STRAIGHTY AND MET,REMEMBER TO PAKE ME UP BY TWIVE NON FROM THE AIRPONT I HAD A THRE PM METING,number_error,0.99195284,replace:pick->gave | replace:up->off | replace:twelve noon from the airport->fave noton fron air horse and | replace:have a three pm meeting->looked straighty and met,high_impact,False,True
datetime_query,datetime,tell me the current time in ottawa,TIM YOU HAD HARN TIME A ANGIN ALL WHILE,TEL ME THE CURENT TIME IN OTWA,proper_noun_error,0.991886,replace:tell me the current->tim you had harn | replace:in ottawa->a angin all while,high_impact,False,True
calendar_remove,calendar,cancel my meeting on the fourteenth,NSO MY MEETING ON THE FOURTEENTH,CANCEL MY METING ON THE FOURTENTH,proper_noun_error,0.99187815,replace:cancel->nso,high_impact,False,True
lists_query,lists,what is on this specific list,WHY IT ALL ME SPECIE FEELES,WHAT IS ON THIS SPECIFIC LIST,proper_noun_error,0.9918703,replace:what is on this specific list->why it all me specie feeles,high_impact,False,True
lists_query,lists,please tell me what lists i have made,THESE TELL ME WHA THIS SIDE OF ME,PLEASE TEL ME WHAT LISTS I HAVE MADE,proper_noun_error,0.99183756,replace:please->these | replace:what lists i have made->wha this side of me,high_impact,False,True
email_query,email,are there any emails in regard to my promotion,WOL HERE HE WAS IN REGARD TO MY BLOSHI,ARE THERE ANY EMAILS IN REGARD TO MY PROMOTIAN,proper_noun_error,0.9918181,replace:are there any emails->wol here he was | replace:promotion->bloshi,high_impact,False,True
recommendation_events,recommendation,who and why is on at the theater tonight,WHO ARE A WISE ALL AS SAYS HE ASN'T MINE,WHO ARE THE WHITEST OF AT THE CEATRE TONIGHT,proper_noun_error,0.9918031,replace:and why is on at the theater tonight->are a wise all as says he asn't mine,high_impact,False,False
calendar_remove,calendar,please delete all reminder of sunday,PLEASE TE LY ALL REMINDER OF SUNDAY,PLEASE DELETE AL REMINDER OF SUNDAY,proper_noun_error,0.9917881,replace:delete->te ly,high_impact,False,True
general_quirky,general,meaning of a particular word,MEANING UP A PARTICULAR WORD,MEANING OF A PARTICULAR WORD,proper_noun_error,0.99175864,replace:of->up,high_impact,False,False
music_query,music,which song is that,WE SO ME THAT,WHICH SONG IS SET,proper_noun_error,0.9916454,replace:which song is->we so me,high_impact,False,True
lists_createoradd,lists,can you create a new list,YOU GREAT AND NEWNESS,CAN YOU CREATE A NEW LIST,proper_noun_error,0.9916432,delete:can | replace:create a new list->great and newness,high_impact,False,True
music_likeness,music,save that song and my opinion,SAVG THAT SON AND BY OPINION,SAVE THAT SONG IN MY OPINION,proper_noun_error,0.99161315,replace:save->savg | replace:song->son | replace:my->by,high_impact,False,True
lists_query,lists,can i see my work lists,CAN I SEE MY WORKLESS,CAN I SE MY WORK LISTS,proper_noun_error,0.991553,replace:work lists->workless,high_impact,False,True
email_query,email,who have emailed me recently and what are the subjects of each email,REMOED ME REASONLY AN WON THE SUBJECTS OF VIOTINO,WHO HAVE EMAILED ME RECENTLY AND WHAT ARE THE SUBJECTS OF U TEMAIL,proper_noun_error,0.99153227,replace:who have emailed->remoed | replace:recently and what are->reasonly an won | replace:each email->viotino,high_impact,False,True
alarm_query,alarm,do i have any alarms for tomorrow morning,DO I HAVE ANY DANCE FOR TO MORROW MORNING,DO I HAVE ANY ALARMS FOR TOMOROW MORNING,proper_noun_error,0.9915296,replace:alarms->dance | replace:tomorrow->to morrow,high_impact,False,True
play_podcasts,play,rewind button,REMIND BE,REMIND BUTON,proper_noun_error,0.99149936,replace:rewind button->remind be,high_impact,False,False
qa_definition,qa,what does triumph mean,WHAT IS TRIUMPH ME,WHAT DOES TRIUMPH MEAN,proper_noun_error,0.991482,replace:does->is | replace:mean->me,high_impact,False,True
calendar_remove,calendar,delete all events for the next five days,O LEAD ALL EVENTS FOR THE NEXT FIVE DAY,DELETE AL EVENTS FOR THE NEXT FIVE DAYS,proper_noun_error,0.991405,replace:delete->o lead | replace:days->day,high_impact,False,True
weather_query,weather,how hot is it in miami,HOW HARD IS YO DO MY HONEY,HOW HOT IS IT IN MIAMI,proper_noun_error,0.991319,replace:hot->hard | replace:it in miami->yo do my honey,high_impact,False,True
query,calendar,what reminders do i have set,WHAT REMINDERS DO I HAVE SAID,WHAT REMINDERS DO I HAVE SET,proper_noun_error,0.99131256,replace:set->said,high_impact,False,False
lists_query,lists,tell me the list about,BETTER ME THEN HES SABAGE,TEL ME THE LIST ABOUT,proper_noun_error,0.99126863,replace:tell->better | replace:the list about->then hes sabage,high_impact,False,True
news_query,news,how is the news in ireland,HOW HAS MUSE INOMORD,HOW IS NEWS IN ORELAND,proper_noun_error,0.99119383,replace:is the news in ireland->has muse inomord,high_impact,False,True
calendar_remove,calendar,please delete all reminder of sunday,GAT FO TE UBE REMINDER SUNDAY,PLEASE DELETE AL REMINDER OF SUNDAY,proper_noun_error,0.9911696,replace:please delete all->gat fo te ube | delete:of,high_impact,False,True
qa_currency,qa,what is s. d. in francs,WORL IS IN FRANCE,WHAT IS IN FRANCE,proper_noun_error,0.99115306,replace:what->worl | delete:s d | replace:francs->france,high_impact,False,False
social_query,social,latest news feed from facebook,LATEST NEWSTEED FROM FAYSBURG,LATEST NEWS FED FROM FACEBOK,proper_noun_error,0.9911227,replace:news feed->newsteed | replace:facebook->faysburg,high_impact,False,False
set,calendar,when is my meeting,WHEN IS MY MEETING,WHEN IS MY METING,no_error,0.99111944,exact_match,high_impact,False,False
weather_query,weather,what is the weather here,IT WAS A MENO,WHAT IS THE WEATHER NER,proper_noun_error,0.99100935,replace:what is the weather here->it was a meno,high_impact,False,True
play_audiobook,play,look for this playback in audiobook and play for me,LOIF I STAY THERE HE OW ME LOOK AND FAY FOR ME,LOK FOR THIS PLAY BACK IN AUDIOBOK AND PLAY FOR ME,proper_noun_error,0.9909677,insert:loif i stay there he ow me | delete:for this playback in audiobook | replace:play->fay,high_impact,False,True
query,calendar,do i have any appointments today,DO YOU HAVE ANY APPOINTMENTS TO DAY,DO I HAVE ANY APOINTMENTS TODAY,proper_noun_error,0.99084246,replace:i->you | replace:today->to day,high_impact,False,False
email_query,email,check by inbox for me,CHECK I AINT LAX FOR ME,CHECK I INBOX FOR ME,proper_noun_error,0.99082386,replace:by inbox->i aint lax,high_impact,False,True
cooking_recipe,cooking,recipe for crabmeat,RECICEFA CRAPPED ME,RECIPE FOR CRABMEAT,proper_noun_error,0.9908082,replace:recipe for crabmeat->recicefa crapped me,high_impact,False,True
calendar_query,calendar,what do i have to do on monday,YOU I HAV TO DO ON ALL,WHAT DO I HAVE TO DO ON MONDA,proper_noun_error,0.9907953,replace:what do->you | replace:have->hav | replace:monday->all,high_impact,False,False
play_radio,play,play news in fm,CLAY NEWS AN FEM,PLAY NEWS IN FM,proper_noun_error,0.9907238,replace:play->clay | replace:in fm->an fem,high_impact,False,True
music_likeness,music,i like jazz you should know,I LIKE JAS YOU SHOULD KNOW,I LIKE JAZ YOU SHOULD KNOW,proper_noun_error,0.99068475,replace:jazz->jas,high_impact,False,False
qa_factoid,qa,what year was bill pullman born,WHER HE HER WAS FEELIN HOM AT ALL,WHAT YEAR WAS BL PORMAT WON,proper_noun_error,0.990668,replace:what year->wher he her | replace:bill pullman born->feelin hom at all,high_impact,False,True
transport_traffic,transport,what is current traffic in ohio,WHAT IS COTCATIC IN ALL OHIO,WHAT IS CURENT TRAFIC IN OHIO,proper_noun_error,0.9906262,replace:current traffic->cotcatic | insert:all,high_impact,False,False
social_query,social,what was the last thing my mom said,WHAT WAS THE LAST THING MY MUM SAID,WHAT WAS THE LAST THING MY MOM SAIT,proper_noun_error,0.99051595,replace:mom->mum,high_impact,False,False
calendar_query,calendar,i needed to prepare for a meeting,I NEED TO PREPARE FOR A MEETING,I NED TO PREPARE FOR A METING,proper_noun_error,0.9904944,replace:needed->need,high_impact,False,False
cooking_recipe,cooking,how is pav bhaji cooked,HOW I SAW A HAUTE GOAT,HOW IS OU HARDY GOLD,proper_noun_error,0.99047196,replace:is pav bhaji cooked->i saw a haute goat,high_impact,False,False
cooking_recipe,cooking,can you suggest me a healthy foods for dinner,CAN YOU SUGGEST ME A HEALTHY FOOT FOR DINNER,CAN YOU SUGEST ME A HEALTHY FOD FOR DINER,proper_noun_error,0.9904529,replace:foods->foot,high_impact,False,False
query,calendar,do i have any appointments today,DO I HAVE ANY APPOINTMENTS TO DAY,DO I HAVE ANY APOINTMENTS TODAY,proper_noun_error,0.99040073,replace:today->to day,high_impact,False,False
query,calendar,do i have any appointments today,DO I HAVE ANY APPOINTMENTS TO DAY,DO I HAVE ANY APOINTMENTS TODAY,proper_noun_error,0.99040073,replace:today->to day,high_impact,False,False
lists_query,lists,did i make a shopping list,DID A ANGASHOP ME,DID I MAKE A SHOPING LIST,proper_noun_error,0.9902957,delete:i make | replace:shopping list->angashop me,high_impact,False,True
play_radio,play,get me some radio music from kamp fm,GET ME SOME RADIA MUSIC FRON KEMP NABWAN EFEN,GET ME SOME RADIO MUSIC FROM KAMP NUMBER ONTH FM,proper_noun_error,0.99028313,replace:radio->radia | replace:from kamp fm->fron kemp nabwan efen,high_impact,False,True
query,calendar,do i have any appointments today,DO I HAVE ANY APPOINTMENTS TO THEY,DO I HAVE ANY APOINTMENTS TODAY,proper_noun_error,0.9902623,replace:today->to they,high_impact,False,False
music_likeness,music,save that song and my opinion,THINK THAT'S OF THE MY OPINION,SAVE THAT SONG FROM BYVE PINION,proper_noun_error,0.99024534,replace:save that song and->think that's of the,high_impact,False,True
recommendation_events,recommendation,which flags ride is the best,WHICH SAYS FLAS WI IS THE BEST,WHICH SIX FLANTS WHAT IS THE BEST,proper_noun_error,0.9902367,replace:flags ride->says flas wi,high_impact,False,False
music_query,music,which song is that,WHERE'S WHERE SANK IS DAT,WHICH WHICH SONG IS DEAD,proper_noun_error,0.9902236,replace:which song->where's where sank | replace:that->dat,high_impact,False,True
query,lists,what lists are available,WHAT LISTS ARE AVAILABLE,WHAT LISTS ARE AVAILABLE,no_error,0.9901461,exact_match,high_impact,False,False
calendar_query,calendar,when is bruno mars coming to sacramento,WHEN IS BRUNO MARS COMING TO SACRAMENTO,WHEN IS BRUNO MARS COMING TO SACRAMENTO,no_error,0.99014074,exact_match,high_impact,False,False
calendar_query,calendar,when is bruno mars coming to sacramento,WHEN IS BRUNO MARS COMING TO SACRAMENTO,WHEN IS BRUNO MARS COMING TO SACRAMENTO,no_error,0.99014074,exact_match,high_impact,False,False
email_query,email,please let me know new emails from michael,TAN WE MEN HOW YOU HE MOWST FOR MY,PLEASE LET ME KNOW NEW EMAILS FROM MICE,proper_noun_error,0.98995155,replace:please let me know new emails from michael->tan we men how you he mowst for my,high_impact,False,True
qa_factoid,qa,how old is jennifer lopez,ANDHOW O IS JANNIY FORD IT ALLPAS,HOW OLD IS CHENIFER LAPEZ,proper_noun_error,0.9898627,replace:how old->andhow o | replace:jennifer lopez->janniy ford it allpas,high_impact,False,True
query,calendar,do i have any appointments today,DO I HAVE ANY APPOINTMENTS DAR,DO I HAVE ANY APOINTMENTS TODAY,proper_noun_error,0.98983955,replace:today->dar,high_impact,False,False
news_query,news,did ben and jen get back together,BIG DID BEN AND JEN GET BACK TOGETHER,DID BEN AND JEN GET BACK TOGETHER,proper_noun_error,0.9897682,insert:big,high_impact,False,False
calendar_remove,calendar,remove today's meeting at evening,MOVE TO DAY'S MEETING AT EVENING,REMOVE TODAYS METING AT EVENING,proper_noun_error,0.98976046,replace:remove today's->move to day's,high_impact,False,True
transport_traffic,transport,which route has less traffic today,WE IS A NETOK TODAY,WHICH WOS THE NEXT THAFIC TODAY,proper_noun_error,0.9897182,replace:which route has less traffic->we is a netok,high_impact,False,False
calendar_set,calendar,schedule a meeting with my colleague,SCONNYO MEETING WAS MY HALLIN,SCHEDULE A METING WITH MICHAOLY,proper_noun_error,0.9896679,replace:schedule a->sconnyo | replace:with->was | replace:colleague->hallin,high_impact,False,True
transport_query,transport,how much for a train ticket,HOW MUCH FOR TRYING TAKE IT,HOW MUCH FOR A TRAIN TICKET,proper_noun_error,0.98966646,replace:a train ticket->trying take it,high_impact,False,True
email_query,email,list the subjects and senders of all emails to me in the last week,YES OLL THE SUNDESS ON SUNDAS AN HOLY MANS TO DAY IN THE MOSSWEE,LIST AL THE SUBJECTS AND SENDERS OF AL EMAILS TO ME IN THE LAST WEK,proper_noun_error,0.9896332,replace:list->yes oll | replace:subjects and senders of all emails->sundess on sundas an holy mans | replace:me->day | replace:last week->mosswee,high_impact,False,True
query,calendar,olly what's my agenda for the remainder of the week,OLY WHAT'S MY AGENDA FOR THE REMAINDER OF THE WEEK,OLY WHATS MY AGENDA FOR THE REMAINDER OF THE WEK,proper_noun_error,0.98953736,replace:olly->oly,high_impact,False,False
calendar_remove,calendar,are there ways to go ahead and clear my calendar for the month,I DREW WASTE TO GO AHEAD AND KEER MY CALENDAR FOR DE MANT,ARTHERE WEYS TO GO AHEAD AND CLEAR MY CALENDAR FOR THE MONTH,proper_noun_error,0.98951775,replace:are there ways->i drew waste | replace:clear->keer | replace:the month->de mant,high_impact,False,True
lists_query,lists,tell me what lists i have,TELL ME WHAT  IS IA,TEL ME WHAT LIST I HAVE,proper_noun_error,0.9895103,replace:lists i have->is ia,high_impact,False,True
calendar_query,calendar,what's the news for six hundred and forty five am today,THE NEWS WOR SIX HUNDRED FORTY FIVE A M TO DAY,WAS THE NEWS FOR SIX HNEDFORTY FIVE AM TODAY,proper_noun_error,0.9894856,delete:what's | replace:for->wor | delete:and | replace:am today->a m to day,high_impact,False,False
iot_hue_lightchange,iot,change the color of the lights,HERE'S A GOS LIFE,CHANGE THE COLOR OF THE LIGHTS,proper_noun_error,0.9894135,replace:change the color of the lights->here's a gos life,high_impact,False,True
general_quirky,general,the weather is sunny today,THE WEATHER IS SUNLY TO DA,THE WEATHER IS SUNY TODAY,proper_noun_error,0.9893911,replace:sunny today->sunly to da,high_impact,False,False
