dataset,stage,fit_on,frozen,evaluated_on,note,timestamp
slurp,selective_prediction_evaluation,-,threshold-free curves on existing risk; descriptive-only operating point,existing evaluation population (8688),"No threshold fit on a held-out split -- SLURP has none. Descriptive operating point is computed and evaluated on the same population and is labeled accordingly, not treated as a generalization estimate.",2026-09-05T14:02:53.664793+00:00
slurp,cost_sensitive_evaluation,-,-,-,"Not evaluated: cost-optimal threshold selection requires optimizing against labels, which needs an independent split to avoid evaluating the threshold on the same labels used to pick it. SLURP's artifact (existing evaluation population) provides no such split.",2026-09-05T14:03:30.976984+00:00
fsc,risk_model_A,validation (5-fold CV -> out-of-fold probabilities; full-val refit for freeze),"RandomForestClassifier over ['asr_mean_confidence', 'asr_min_confidence', 'asr_std_confidence', 'asr_median_confidence', 'asr_mean_entropy', 'asr_max_entropy', 'asr_std_entropy', 'asr_num_frames', 'audio_duration']",test (single pass),"Calibration/threshold steps downstream use the OOF probabilities, not the frozen model's in-sample validation predictions.",2026-09-05T14:03:43.413374+00:00
fsc,risk_model_B,validation (5-fold CV -> out-of-fold probabilities; full-val refit for freeze),"RandomForestClassifier over ['intent_confidence', 'intent_entropy', 'intent_margin']",test (single pass),"Calibration/threshold steps downstream use the OOF probabilities, not the frozen model's in-sample validation predictions.",2026-09-05T14:03:54.248795+00:00
fsc,risk_model_C,validation (5-fold CV -> out-of-fold probabilities; full-val refit for freeze),"RandomForestClassifier over ['asr_mean_confidence', 'asr_min_confidence', 'asr_std_confidence', 'asr_median_confidence', 'asr_mean_entropy', 'asr_max_entropy', 'asr_std_entropy', 'asr_num_frames', 'audio_duration', 'intent_confidence', 'intent_entropy', 'intent_margin']",test (single pass),"Calibration/threshold steps downstream use the OOF probabilities, not the frozen model's in-sample validation predictions.",2026-09-05T14:04:03.737104+00:00
fsc,sigmoid_calibration_A,validation (out-of-fold predictions),LogisticRegression on logit(OOF risk),test (single pass),,2026-09-05T14:04:03.893190+00:00
fsc,sigmoid_calibration_B,validation (out-of-fold predictions),LogisticRegression on logit(OOF risk),test (single pass),,2026-09-05T14:04:03.914346+00:00
fsc,sigmoid_calibration_C,validation (out-of-fold predictions),LogisticRegression on logit(OOF risk),test (single pass),,2026-09-05T14:04:03.930554+00:00
fsc,isotonic_calibration_A,validation (out-of-fold predictions),IsotonicRegression on OOF risk score,test (single pass),stable,2026-09-05T14:04:03.992414+00:00
fsc,isotonic_calibration_B,validation (out-of-fold predictions),IsotonicRegression on OOF risk score,test (single pass),stable,2026-09-05T14:04:03.992414+00:00
fsc,isotonic_calibration_C,validation (out-of-fold predictions),IsotonicRegression on OOF risk score,test (single pass),stable,2026-09-05T14:04:03.996460+00:00
fsc,calibration_variant_prespecified,-,"best_variant_C = sigmoid (pre-specified, not selected by any metric)",-,Sigmoid pre-specified as the primary FSC calibration method before any calibration metric was computed; isotonic retained only as a sensitivity analysis. FSC test was not read in this step.,2026-09-05T14:04:04.094994+00:00
fsc,selective_threshold_asr_confidence,validation,tau=0.988617 (target coverage=0.9),test (single pass),,2026-09-05T14:04:07.667799+00:00
fsc,selective_threshold_intent_confidence,validation,tau=0.995078 (target coverage=0.9),test (single pass),,2026-09-05T14:04:07.667799+00:00
fsc,selective_threshold_voxintel_r_risk_C,validation,tau=0.073556 (target coverage=0.9),test (single pass),,2026-09-05T14:04:07.667799+00:00
fsc,severity_assignment,-,-,-,no intent-identity column found -- per-utterance hash fallback (SIMULATED),2026-09-05T14:04:41.845576+00:00
fsc,cost_policy_thresholds_regime_1,validation (grid search per clarification cost),thresholds above; severity-aware policy uses analytic Bayes rule (no fitting),test (single pass per policy per cost combination),,2026-09-05T14:04:42.101411+00:00
fsc,cost_policy_thresholds_regime_2,validation (grid search per clarification cost),thresholds above; severity-aware policy uses analytic Bayes rule (no fitting),test (single pass per policy per cost combination),,2026-09-05T14:04:42.198876+00:00
fsc,cost_policy_thresholds_regime_3,validation (grid search per clarification cost),thresholds above; severity-aware policy uses analytic Bayes rule (no fitting),test (single pass per policy per cost combination),,2026-09-05T14:04:42.287733+00:00
fsc,ablation_B_confidence_only,validation (full refit),RandomForestClassifier over ['intent_confidence'],test (single pass),,2026-09-05T14:04:44.948575+00:00
fsc,ablation_B_entropy_only,validation (full refit),RandomForestClassifier over ['intent_entropy'],test (single pass),,2026-09-05T14:04:46.872246+00:00
fsc,ablation_B_margin_only,validation (full refit),RandomForestClassifier over ['intent_margin'],test (single pass),,2026-09-05T14:04:48.859030+00:00
fsc,ablation_C_without_duration,validation (full refit),"RandomForestClassifier over ['asr_mean_confidence', 'asr_min_confidence', 'asr_std_confidence', 'asr_median_confidence', 'asr_mean_entropy', 'asr_max_entropy', 'asr_std_entropy', 'asr_num_frames', 'intent_confidence', 'intent_entropy', 'intent_margin']",test (single pass),,2026-09-05T14:04:51.056289+00:00
fsc,ablation_C_without_asr_entropy,validation (full refit),"RandomForestClassifier over ['asr_mean_confidence', 'asr_min_confidence', 'asr_std_confidence', 'asr_median_confidence', 'asr_num_frames', 'audio_duration', 'intent_confidence', 'intent_entropy', 'intent_margin']",test (single pass),,2026-09-05T14:04:53.050336+00:00
fsc,ablation_C_without_asr_confidence,validation (full refit),"RandomForestClassifier over ['asr_mean_entropy', 'asr_max_entropy', 'asr_std_entropy', 'asr_num_frames', 'audio_duration', 'intent_confidence', 'intent_entropy', 'intent_margin']",test (single pass),,2026-09-05T14:04:54.849080+00:00
